english,spanish,song,artist
For all the times that we tried to make it right or at least that's what I thought Now you live right down the road And I really hope that you wanna know The times at which I'll be smoking cigs on my shitty porch just trying to let you go As you walk away you're smiling,Para todas las veces que intentamos hacerlo bien o al menos eso es lo que pensé que ahora vives en el camino y realmente espero que quieras saber los tiempos en los que estaré fumando cigas en mi porche de mierda tratando de dejarte ir mientras te alejas estás sonriendo estás sonriendo,Song 2,Queen
Like you know that id still let you in You got keys in your hand I know that you wanted to hang If my shitty bed could talk I think my pillows might agree That even though my bed is the worst,"Como si supieras que todavía te dejas entrar, tienes llaves en tu mano, sé que querías colgarte si mi cama de mierda pudiera hablar, creo que mis almohadas podrían estar de acuerdo en que a pesar de que mi cama es la peor.",Song 2,Queen
"Making my back hurt At least you're next to me, yeah Now you live right down the road And I really hope that you wanna know","Hacer que me duele la espalda al menos estás a mi lado, sí, ahora vives en el camino y realmente espero que quieras saber",Song 2,Queen
The times and places where I'm getting wasted You know that I hate it I'm dying to let you go As you walk away you're smiling Like you know that id still let you in,"Los tiempos y los lugares donde me desperdician, sabes que odio que me muero por dejarte ir mientras te alejas estás sonriendo como si supieras que todavía te dejas entrar",Song 2,Queen
You got keys in your hand I know that you wanted to hang,"Tienes llaves en tu mano, sé que querías colgar",Song 2,Queen
"Love Story Lyrics Taylor was inspired to write “Love Story” when she was going through a difficult situation with a boy she liked, whom she wasn’t “officially” dating. The song has been rumored to be about two singers – the… We were both young when I first saw you","Letras de Love Story Taylor se inspiró para escribir ""Love Story"" cuando estaba pasando por una situación difícil con un niño que le gustaba, a quien no estaba ""oficialmente"" saliendo. Se rumorea que la canción es sobre dos cantantes, el ... los dos éramos jóvenes cuando te vi por primera vez",Love Story,Taylor Swift
"I close my eyes and the flashback starts I'm standing there On a balcony in summer air See the lights, see the party, the ball gowns See you make your way through the crowd And say, ""Hello""","Cierro los ojos y el flashback comienza, estoy parado allí en un balcón en el aire de verano, ver las luces, ver la fiesta, los vestidos de pelota te ven a la multitud y decir ""hola""",Love Story,Taylor Swift
"Little did I know That you were Romeo, you were throwing pebbles And my daddy said, ""Stay away from Juliet""","Poco sabía que eras Romeo, estabas lanzando guijarros y mi papá dijo: ""Manténgase alejado de Julieta""",Love Story,Taylor Swift
"And I was crying on the staircase Begging you, ""Please don't go,"" and I said Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run","Y estaba llorando por la escalera rogándoles: ""Por favor, no vayas"", y dije Romeo, llévame a un lugar donde podamos estar solos, estaré esperando, todo lo que queda por hacer es correr",Love Story,Taylor Swift
"You'll be the prince and I'll be the princess It's a love story, baby, just say, ""Yes"" So I sneak out to the garden to see you We keep quiet 'cause we're dead if they knew So close your eyes","Serás el príncipe y seré la princesa, es una historia de amor, bebé, solo diga, ""sí"", así que me escabullen al jardín para verte, nos mantenemos callados porque estamos muertos si sabían tan cerca tus ojos",Love Story,Taylor Swift
For the dreams that came to you when so young Told of a life where Spring is sprung You would seem so frail in the cold of the night When the armies of emotion go out to fight,"Por los sueños que te llegaron cuando tan joven se contó de una vida en la que surge la primavera, parecerías tan frágil en el frío de la noche cuando los ejércitos de la emoción salen a pelear",Song 1,Drake
But while the Earth sinks to its grave You sail to the sky on the crest of a wave So forget this cruel world where I belong I'll just sit and wait and sing my song And if one day you should see me in the crowd,"Pero mientras la Tierra se hunde a su tumba, navegas hacia el cielo en la cresta de una ola, así que olvida este cruel mundo donde pertenezco, solo me sentaré y esperaré y cantaré mi canción y si algún día deberías verme en la multitud",Song 1,Drake
Song #3 Lyrics This is a song that is made by Bryson Price and his sister Adriana Price. (What we do Until the end of time,Letra de la canción #3 Esta es una canción hecha por Bryson Price y su hermana Adriana Price. (Lo que hacemos hasta el final de los tiempos,Song 3,Prince
You're faithful to us always) What we do Until the end of time You're faithful to us always (x2),"Eres fiel a nosotros siempre) lo que hacemos hasta el fin de los tiempos, siempre eres fiel para nosotros (x2)",Song 3,Prince
(What we do Until the end of time You're faithful to us always) What we do Until the end of time,"(Lo que hacemos hasta el final de los tiempos, siempre se siente fiel) lo que hacemos hasta el final de los tiempos",Song 3,Prince
My 1st Song (The Grey Album) Lyrics Y'all wanna know why he don't stop? Y'all wanna know why he don't flop? Let me tell you pe-people why,My 1st Song (The Gray Album) Lyrics ¿Querrían saber por qué no se detiene? ¿Queren saber por qué no fracasa? Déjame decirte que la persona por qué,Song 1,The Beatles
"Came from the bottom of the block I When I was born, it was sworn, I was never gon' be shit Had to pull the opposite out this bitch Had to get my ri-ide on","Vení del fondo del bloque I Cuando nací, había jurado, nunca fui una mierda que tuviera que sacar lo contrario, esta perra tuvo que poner mi riegue",Song 1,The Beatles
"Eyes on the prize, Shawn knew I had to Had to had to get these chips Had to make moves like Olajuwon Started out selling dimes and nicks Graduated to a brick","Ojos en el premio, Shawn sabía que tenía que tener que conseguir estas papas",Song 1,The Beatles
"No exaggeration, my infatuation with the strip Legendary like a schoolboy Crushin' merely nearly every every chick","Sin exageración, mi enamoramiento con la tira legendaria como un colegial de colegios aplastante simplemente casi cada una de las chicas",Song 1,The Beatles
"Heavy shit – that's how schoolboy got whipped And got left on some Just Me, Myself and I On some Trugoy shit Had to voyage to a place of, to a place of no return Had to play with fire and get burned","Mierda pesada: así fue como se azotó el colegial y me quedaron en algunos solo yo, yo y yo en una mierda de Trugoy tuvimos que viajar a un lugar, a un lugar de no retorno, tuvimos que jugar con fuego y quemarnos",Song 1,The Beatles
"Only way the boy ever gon' learn Had to lay way in the cut, 'til I finally got my turn Now I'm on top in the spot that I earned","La única forma en que el niño alguna vez fue 'aprender tuvo que estar en el corte, hasta que finalmente tuve mi turno ahora estoy en la cima en el lugar que gané",Song 1,The Beatles
"It's my life, it's my pain and my struggle The songs that I sing to you is my everything Treat my first like my last, and my last like my first","Es mi vida, es mi dolor y mi lucha, las canciones que te canto son mi todo tratando mi primero como mi último, y mi último como mi primero",Song 1,The Beatles
"And my thirst is the same as when I came It's my joy and my tears And the laughter it brings to me, it's my everything","Y mi sed es la misma que cuando vine es mi alegría y mis lágrimas y la risa que me trae, es mi todo",Song 1,The Beatles
"Poker Face / Speechless / Your Song (Live from the 52nd Annual Grammy Awards) Lyrics I just wanna hold 'em like they do in Texas, please Fold 'em, let 'em hit me, raise it, baby, stay with me, oh yeah LoveGame intuition, play the cards with spades to start And after he's been hooked, I'll play the one that's on his heart","Poker Face / Speechless / Your Song (en vivo desde los 52º premio anual de Grammy Awards). Solo quiero sostenerlos como lo hacen en Texas, por favor dobla, deja que me golpeen, críen, bebé, qué",Song 5,Elton John
"Mum mum mum mah Mum mum mum mah Mum mum mum mah Mum mum mum mah I wanna hold 'em like they do in Texas, please (Hey)","Mamá Mamá Mah Mamá Mamá Mamá Mah Mamá Mamá Mah Mum Mamá Mamá Mah Quiero sostenerlos como lo hacen en Texas, por favor (oye)",Song 5,Elton John
"Fold 'em, let 'em hit me, raise it, baby, stay with me (I love it) LoveGame intuition, play the cards with spades to start And after he's been hooked, I'll play the one that's on his heart Oh, woah-oh, oh, oh I'll get him hot, show him what I've got","Póntiles, déjen que me golpeen, lo crié, bebé, qué",Song 5,Elton John
"Castle On The Hill Lyrics “Castle on the Hill” is a guitar-driven pop song that pays homage to Ed Sheeran’s upbringing in the English countryside town of Framlingham, Suffolk. The song was produced by pop maestro Benny Blanco and… When I was six years old, I broke my leg","Letras de Castle on the Hill ""Castle on the Hill"" es una canción pop impulsada por la guitarra que rinde homenaje a la educación de Ed Sheeran en la ciudad de campo inglés de Framlingham, Suffolk. La canción fue producida por el maestro pop Benny Blanco y ... cuando tenía seis años, me rompí la pierna",Castle on the Hill,Ed Sheeran
"I was runnin' from my brother and his friends And tasted the sweet perfume of the mountain grass I rolled down I was younger then, take me back to when I","Estaba corriendo de mi hermano y sus amigos y probé el dulce perfume de la hierba de montaña que rodé. Era más joven, entonces, me llevé a cuando yo",Castle on the Hill,Ed Sheeran
"Found my heart and broke it here Made friends and lost them through the years And I've not seen the roaring fields in so long, I know I've grown But I can't wait to go home","Encontré mi corazón y lo rompí aquí hizo amigos y los perdí a través de los años y no he visto los campos rugientes en tanto tiempo, sé que he crecido pero no puedo esperar para ir a casa",Castle on the Hill,Ed Sheeran
"I'm on my way Drivin' at ninety down those country lanes Singin' to ""Tiny Dancer"" And I miss the way you make me feel and it's real","Estoy en camino a la conducción de noventa en esos carriles country cantando a ""Tiny Dancer"" y extraño la forma en que me haces sentir y es real",Castle on the Hill,Ed Sheeran
We watched the sunset over the castle on the hill Fifteen years old and smoking hand-rolled cigarettes Runnin' from the law through the backfields and gettin' drunk with my friends,Vimos la puesta de sol sobre el castillo en la colina de quince años y fumando cigarrillos enrollados a mano saliendo de la ley a través de los backfields y emborrachados con mis amigos,Castle on the Hill,Ed Sheeran
"Had my first kiss on a Friday night, I don't reckon that I did it right But I was younger then, take me back to when We found weekend jobs, when we got paid We'd buy cheap spirits and drink them straight","Tuve mi primer beso un viernes por la noche, no creo que lo hice bien, pero era más joven entonces, llevarme de regreso a cuando encontramos trabajos de fin de semana, cuando nos pagamos, compramos espíritus baratos y los beberíamos directamente.",Castle on the Hill,Ed Sheeran
"Me and my friends have not thrown up in so long, oh, how we've grown But I can't wait to go home","Mis amigos y yo no hemos arrojado tanto tiempo, oh, cómo hemos crecido, pero no puedo esperar para ir a casa",Castle on the Hill,Ed Sheeran
"Theme Song 2 Lyrics What about Mafia Dad 2? That was a good sequel? Sure, once in a blue moon they don’t screw it up, but it doesn’t change the fact that most sequels are terrible and a bad idea","Temo Song 2 Letras ¿Qué pasa con Mafia Dad 2? ¿Esa fue una buena secuela? Claro, una vez en una luna azul no lo arruinan, pero no cambia el hecho de que la mayoría de las secuelas son terribles y una mala idea",Song 2,Shakira
Sharkgirl and Lavaboy 2 was really good I thought you said it didn’t have enough violence? All the good G movies never have enough violence They’re for kids,"Sharkgirl y Lavaboy 2 fueron realmente buenos, pensé que dijiste que no tenía suficiente violencia. Todas las buenas películas G nunca tienen suficiente violencia para los niños",Song 2,Shakira
"How are the kids going to learn to defend their tribe? You’re the cutеst little homicidal goblin i know Love you too, babe *kissy noisеs*","¿Cómo van a aprender los niños a defender a su tribu? Eres el pequeño duende homicida que sé que también te amo, nena *besado ruido *",Song 2,Shakira
"“Perfect” is an old-fashioned love ballad inspired by and dedicated to Ed’s then-fiancée (now wife) Cherry Seaborn. It is the fourth single from Sheeran’s 2017 album ÷. He explained his motivation for… I found a love for me Oh, darlin', just dive right in and follow my lead","""Perfect"" es una balada de amor antigua inspirada y dedicada a la entonces mujer de Ed (ahora esposa) Cherry Seborn. Es el cuarto sencillo del álbum 2017 de Sheeran ÷. Explicó su motivación por ... Encontré un amor para mí oh, cariño, solo buce y sigue mi ejemplo",Perfect,Ed Sheeran
"Well, I found a girl, beautiful and sweet Oh, I never knew you were the someone waitin' for me 'Cause we were just kids when we fell in love","Bueno, encontré una chica, hermosa y dulce, oh, nunca supe que eras el que alguien me esperaba por mí porque solo éramos niños cuando nos enamoramos",Perfect,Ed Sheeran
"Not knowin' what it was I will not give you up this time But, darlin', just kiss me slow Your heart is all I own","No sé qué es lo que no te dejaré esta vez, pero, cariño, solo bésame lento tu corazón es todo lo que tengo.",Perfect,Ed Sheeran
"And in your eyes, you're holdin' mine Baby, I'm dancin' in the dark with you between my arms Barefoot on the grass while listenin' to our favourite song When you said you looked a mess, I whispered underneath my breath But you heard it, ""Darlin', you look perfect tonight""","Y en tus ojos, estás sosteniendo el bebé, estoy bailando en la oscuridad contigo entre mis brazos descalzos sobre la hierba mientras escuchas nuestra canción favorita cuando dijiste que parecías un desastre, susurré debajo de mi aliento, pero lo escuchaste, ""cariño, te ves perfecta esta noche""",Perfect,Ed Sheeran
"Well, I found a woman stronger than anyone I know She shares my dreams, I hope that, someday, I'll share her home I found a love to carry more than just my secrets To carry love, to carry children of our own","Bueno, encontré una mujer más fuerte que cualquiera que conozco que comparta mis sueños, espero que, algún día compartiré su casa, me encanta llevar más que solo mis secretos para llevar el amor, llevar a los hijos propios.",Perfect,Ed Sheeran
"Blank Space Lyrics Taylor Swift plays her “serial dater” image to her advantage with “Blank Space,” a synth-pop anthem that the RIAA certified 8x platinum in July 2018. Swift explained to GQ in October 2015 that she wrote the… Nice to meet you, where you been? I could show you incredible things","Letras de espacio en blanco Taylor Swift interpreta su imagen de ""Dater de serie"" para su ventaja con ""Space en blanco"", un himno de synth-pop que el RIAA Certified 8x Platinum en julio de 2018. Swift explicó a GQ en octubre de 2015 que escribió el ... ¿Encantado de conocerte, dónde has estado? Podría mostrarte cosas increíbles",Blank Space,Taylor Swift
"Magic, madness, heaven, sin Saw you there and I thought ""Oh, my God, look at that face You look like my next mistake","Magia, locura, cielo, pecado te vio allí y pensé: ""Oh, Dios mío, mira esa cara, te ves como mi próximo error",Blank Space,Taylor Swift
"Love's a game, wanna play?"" Ayy New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly","El amor es un juego, ¿quieres jugar? ""Ayy nuevo dinero, traje y empate, puedo leerte como una revista, ¿no es divertida?",Blank Space,Taylor Swift
"And I know you heard about me So, hey, let's be friends I'm dying to see how this one ends","Y sé que escuchaste sobre mí, así que, oye, seamos amigos, me muero por ver cómo termina este",Blank Space,Taylor Swift
Grab your passport and my hand I can make the bad guys good for a weekend So it's gonna be forever Or it's gonna go down in flames?,Agarra tu pasaporte y mi mano puedo hacer que los malos fueran buenos para un fin de semana para que sea para una eternidad o va a caer en llamas.,Blank Space,Taylor Swift
"You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers","Puedes decirme cuándo termina, mm si el alto valió la pena el dolor obtuvo una larga lista de ex amantes",Blank Space,Taylor Swift
They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless,Te dirán que estoy loco porque sabes que amo a los jugadores y amas el juego porque somos jóvenes y somos imprudentes,Blank Space,Taylor Swift
"We'll take this way too far It'll leave you breathless, mm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane","Llegaremos de esta manera demasiado lejos, te dejará sin aliento, MM o con una cicatriz desagradable que obtuvieran una larga lista de ex amantes que te dirán que estoy loco",Blank Space,Taylor Swift
"But I've got a blank space, baby And I'll write your name","Pero tengo un espacio en blanco, bebé y escribiré tu nombre",Blank Space,Taylor Swift
"Shake It Off Lyrics “Shake It Off” is an upbeat track that encourages listeners to let go of small problems. It spent four weeks at #1 on the Billboard Hot 100 song chart, staying on the chart for a consecutive fifty weeks, as… I stay out too late Got nothin' in my brain That's what people say, mm-mm","La letra de Shake It Off ""Shake It Off"" es una canción optimista que alienta a los oyentes a dejar de lado pequeños problemas. Pasó cuatro semanas en el #1 en la lista de canciones de Billboard Hot 100, permaneciendo en la lista durante un consecutivo cincuenta semanas, ya que ... me quedo fuera demasiado tarde en mi cerebro, eso es lo que la gente dice, mm-mm",Shake It Off,Taylor Swift
"That's what people say, mm-mm I go on too many dates (Haha) But I can't make them stay At least, that's what people say, mm-mm That's what people say, mm-mm","Eso es lo que la gente dice, mm-mm, tengo demasiadas citas (jaja) pero no puedo hacer que se queden al menos, eso es lo que dice la gente, mm-mm eso es lo que la gente dice, mm-mm",Shake It Off,Taylor Swift
"But I keep cruisin' Can't stop, won't stop movin' It's like I got this music in my mind Sayin', ""It's gonna be alright"" 'Cause the players gonna play, play, play, play, play","Pero sigo que Cruisin 'no puedo parar, no dejaré de mudarme, es como si tuviera esta música en mi mente diciendo, ""Va a estar bien"" porque los jugadores jugarán, jugarán, jugarán, jugarán, jugar, tocar",Shake It Off,Taylor Swift
"And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off Heartbreakers gonna break, break, break, break, break And the fakers gonna fake, fake, fake, fake, fake","Y los que odian van a odiar, odiarán, odiarán, odiarán, odiarán al bebé, solo voy a sacudir, sacudiré, sacudir, sacudirme, lo sacudo, lo saco de los angustiosos que romperán, romperán, romperán, romperán, romperán y los falsificadores van a falsificar, falsos, falsos, falsos",Shake It Off,Taylor Swift
"Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off","Bebé, solo voy a temblar, sacudiré, sacudiré, sacudir, agitarlo, lo saco, lo saco",Shake It Off,Taylor Swift
"You Belong With Me Lyrics “You Belong with Me” tells the story of a boy who is too wrapped up in a toxic relationship to see how much another girl likes him. It appears on Taylor’s sophomore album, Fearless. Taylor said the following…","Letras de mi pertenencia a mí ""You Pertane With Me"" cuenta la historia de un niño que está demasiado envuelto en una relación tóxica para ver cuánto le gusta a otra chica. Aparece en el segundo álbum de Taylor, Fearless. Taylor dijo lo siguiente ...",You Belong With Me,Taylor Swift
"You're on the phone with your girlfriend, she's upset She's going off about something that you said 'Cause she doesn't get your humor like I do","Estás hablando por teléfono con tu novia, está molesta que se está saliendo de algo que dijiste porque no obtiene tu humor como yo",You Belong With Me,Taylor Swift
"I'm in the room, it's a typical Tuesday night I'm listening to the kind of music she doesn't like And she'll never know your story like I do 'Cause she wears short skirts, I wear T-shirts","Estoy en la habitación, es un martes típico por la noche que escucha el tipo de música que no le gusta y nunca sabrá tu historia como yo porque usa faldas cortas, llevo camisetas",You Belong With Me,Taylor Swift
"She's Cheer Captain and I'm on the bleachers Dreaming 'bout the day when you wake up and find That what you're looking for has been here the whole time If you could see that I'm the one who understands you Been here all along, so why can't you see? You belong with me, you belong with me","Ella es capitana de alegría y estoy en las gradas soñando con el día en que te despiertes y descubres que lo que estás buscando ha estado aquí todo el tiempo si pudiste ver que yo soy yo quien entiende que estás aquí todo el tiempo, entonces, ¿por qué no puedes ver? Perteneces conmigo, me perteneces",You Belong With Me,Taylor Swift
"Walk in the streets with you and your worn-out jeans I can't help thinking this is how it ought to be Laughing on a park bench, thinking to myself Hey, isn't this easy? And you've got a smile that can light up this whole town I haven't seen it in a while since she brought you down","Camina por las calles contigo y tus jeans desgastados No puedo evitar pensar que así es como debería reírse de un banco del parque, pensando para mí, oye, ¿no es tan fácil? Y tienes una sonrisa que puede iluminar toda esta ciudad, no la he visto en mucho tiempo desde que te derribó",You Belong With Me,Taylor Swift
"You say you're fine, I know you better than that Hey, whatcha doing with a girl like that?","Dices que estás bien, te conozco mejor que eso oye, ¿qué están haciendo con una chica así?",You Belong With Me,Taylor Swift
"song in 12 minutes Lyrics Would you think it's funny if I had a baby? I'm the gravy Queef jerky with me, I'm the gravy Yeah, yeah, yeah, yeah","Canción en 12 minutos ¿crees que es divertido si tuviera un bebé? Soy la salsa de cecina conmigo, soy la salsa, sí, sí, sí, sí",Song 1,Queen
Would you check me in fifteen years? Please don't come visit with the fifteen beers I would like to know your peers Lost my lunch,"¿Me verías en quince años? Por favor, no vengas a visitar las quince cervezas. Me gustaría saber que tus compañeros perdieron mi almuerzo",Song 1,Queen
"I got some In the beat, I'm lonesome Uh, uh, I got to bone some I'm in freefall","Tengo un poco en el ritmo, estoy solitario uh, eh, tengo al hueso, estoy en fallecida",Song 1,Queen
"Poker Face / Speechless / Your Song (Live from the 52nd Annual Grammy Awards) Lyrics I just wanna hold 'em like they do in Texas, please Fold 'em, let 'em hit me, raise it, baby, stay with me, oh yeah",Poker Face / Speechless / Your Song (en vivo de los 52º Premios Grammy Anuales),Song 5,Lady Gaga
"LoveGame intuition, play the cards with spades to start And after he's been hooked, I'll play the one that's on his heart Mum mum mum mah","Intuición del juego de amor, juega las cartas con espadas para comenzar y después de que se haya enganchado, jugaré el que está en su corazón mamá mamá mah",Song 5,Lady Gaga
"I wanna hold 'em like they do in Texas, please (Hey) Fold 'em, let 'em hit me, raise it, baby, stay with me (I love it) LoveGame intuition, play the cards with spades to start","Quiero sostenerlos como lo hacen en Texas, por favor (oye) doblarlos, dejarlos golpearme, criarlo, bebé, quedarse conmigo (me encanta) intuición del juego de amor, jugar las cartas con espadas para comenzar",Song 5,Lady Gaga
"And after he's been hooked, I'll play the one that's on his heart Oh, woah-oh, oh, oh I'll get him hot, show him what I've got","Y después de haber sido enganchado, tocaré el que está en su corazón oh, woah-oh, oh, oh, lo pondré caliente, muéstrale lo que tengo",Song 5,Lady Gaga
Earth Song (This Is It 2009) Lyrics What about sunrise? What about rain? What about all the things,Earth Song (This Is It 2009) Lyrics ¿Qué pasa con Sunrise? ¿Qué pasa con la lluvia? ¿Qué pasa con todas las cosas?,Song 2,Michael Jackson
That you said we were to gain? What about flowering fields? Is there a time?,¿Que dijiste que íbamos a ganar? ¿Qué pasa con los campos de floración? ¿Hay tiempo?,Song 2,Michael Jackson
What about all the things That you said was yours and mine? Did you ever stop to notice All the blood we've shed before? Did you ever stop to notice,¿Qué pasa con todas las cosas que dijiste que eran tuyas y mías? ¿Alguna vez te detuviste a notar toda la sangre que hemos derramado antes? ¿Alguna vez te detuviste a notar?,Song 2,Michael Jackson
"This crying Earth, these weeping shores? What have we done to the world? Look what we've done What about all the peace That you pledge your only son?","¿Esta tierra que llora, estas costas llorosas? ¿Qué hemos hecho al mundo? Mira lo que hemos hecho ¿Qué pasa con toda la paz que promete a tu único hijo?",Song 2,Michael Jackson
What about flowering fields? Is there a time? What about all the dreams That you said was yours and mine?,¿Qué pasa con los campos de floración? ¿Hay tiempo? ¿Qué pasa con todos los sueños que dijiste que eran tuyos y míos?,Song 2,Michael Jackson
Did you ever stop to notice All the children dead from war? Did you ever stop to notice,¿Alguna vez te detuviste a notar a todos los niños muertos de la guerra? ¿Alguna vez te detuviste a notar?,Song 2,Michael Jackson
"This crying Earth, these weeping shores? I used to dream I used to glance beyond the stars Now I don't know where we are","¿Esta tierra que llora, estas costas llorosas? Solía ​​soñar que solía mirar más allá de las estrellas ahora no sé dónde estamos",Song 2,Michael Jackson
Although I know we've drifted far What about yesterday? What about us? What about those lions? What about us?,Aunque sé que nos hemos alejado de ayer? ¿Qué hay de nosotros? ¿Qué pasa con esos leones? ¿Qué hay de nosotros?,Song 2,Michael Jackson
What about yesterday? What about us? What about those lions? What about us?,¿Qué pasa con ayer? ¿Qué hay de nosotros? ¿Qué pasa con esos leones? ¿Qué hay de nosotros?,Song 2,Michael Jackson
What about everything? What about us? I can't even breathe,¿Qué pasa con todo? ¿Qué hay de nosotros? Ni siquiera puedo respirar,Song 2,Michael Jackson
What about us? What about everything? What about us?,¿Qué hay de nosotros? ¿Qué pasa con todo? ¿Qué hay de nosotros?,Song 2,Michael Jackson
What about death? What about us? What about everything? What about us? Deep within our skin,¿Qué pasa con la muerte? ¿Qué hay de nosotros? ¿Qué pasa con todo? ¿Qué hay de nosotros? En lo profundo de nuestra piel,Song 2,Michael Jackson
What about us? What about you and me? What about us? What about my fear?,¿Qué hay de nosotros? ¿Y tú y yo? ¿Qué hay de nosotros? ¿Qué pasa con mi miedo?,Song 2,Michael Jackson
What about us? What about everything? What about us?,¿Qué hay de nosotros? ¿Qué pasa con todo? ¿Qué hay de nosotros?,Song 2,Michael Jackson
I can hear them sigh What about us? What about everything? What about us?,Puedo escucharlos suspirar ¿Qué hay de nosotros? ¿Qué pasa con todo? ¿Qué hay de nosotros?,Song 2,Michael Jackson
What about the man? What about us? What about everything? What about us?,¿Qué pasa con el hombre? ¿Qué hay de nosotros? ¿Qué pasa con todo? ¿Qué hay de nosotros?,Song 2,Michael Jackson
What about the man? What about us? What about everything? What about us? Deep within our skin,¿Qué pasa con el hombre? ¿Qué hay de nosotros? ¿Qué pasa con todo? ¿Qué hay de nosotros? En lo profundo de nuestra piel,Song 2,Michael Jackson
What about us? What about all the trees? What about us? What about the dream? What about us?,¿Qué hay de nosotros? ¿Qué pasa con todos los árboles? ¿Qué hay de nosotros? ¿Qué pasa con el sueño? ¿Qué hay de nosotros?,Song 2,Michael Jackson
What about everything? What about us? What about death?,¿Qué pasa con todo? ¿Qué hay de nosotros? ¿Qué pasa con la muerte?,Song 2,Michael Jackson
Earth Song (1988 Demo) Lyrics Lyrics from snippet What about sunrise? What about rain?,Letras de Letras de Earth Song (1988 Demo) De Snippet ¿Qué pasa con Sunrise? ¿Qué pasa con la lluvia?,Song 1,Michael Jackson
What about all the things That you said would come again? What about wishing wells? What about time? What about all the things that you said was all mine?,¿Qué pasa con todas las cosas que dijiste que volverían de nuevo? ¿Qué hay de desear pozos? ¿Qué pasa con la hora? ¿Qué pasa con todas las cosas que dijiste que eran todas las mías?,Song 1,Michael Jackson
Did you ever stop to notice All the things we've done before? Did you ever stop to notice How I'm walking out the door?,¿Alguna vez te detuviste a notar todas las cosas que hemos hecho antes? ¿Alguna vez te detuviste a notar cómo estoy saliendo por la puerta?,Song 1,Michael Jackson
"Thinking Out Loud Lyrics “Thinking Out Loud” is Sheeran’s smash hit about lifelong love. Though he was just 23 when he wrote it, he imagines the love lasting well into his later years. The message resonated with fans, and it… When your legs don't work like they used to before And I can't sweep you off of your feet Will your mouth still remember the taste of my love?","Thinking Out Loud Lyrics ""Thinking Out Loud"" es el éxito de Sheeran sobre el amor de toda la vida. Aunque solo tenía 23 años cuando lo escribió, imagina que el amor que duró hasta sus últimos años. El mensaje resonó con los fanáticos, y eso ... cuando tus piernas no funcionan como solían hacerlo antes y no puedo barrerte de tus pies, ¿tu boca seguirá recordando el sabor de mi amor?",Thinking Out Loud,Ed Sheeran
"Will your eyes still smile from your cheeks? And darlin', I will be lovin' you till we're seventy And baby, my heart could still fall as hard at twenty-three","¿Tus ojos todavía sonreirán desde tus mejillas? Y cariño, te amaré hasta que tengamos setenta y bebé, mi corazón aún podría caer tan duro a los veintisiete",Thinking Out Loud,Ed Sheeran
"And I'm thinkin' 'bout how People fall in love in mysterious ways Maybe just the touch of a hand Well, me, I fall in love with you every single day And I just wanna tell you I am So honey, now, take me into your lovin' arms","Y estoy pensando en cómo la gente se enamora de manera misteriosa tal vez solo el toque de una mano bien, yo, me enamoro de ti todos los días y solo quiero decirte que soy tan cariño, ahora, llévame a tus brazos amados.",Thinking Out Loud,Ed Sheeran
"Kiss me under the light of a thousand stars And place your head on my beatin' heart, I'm thinkin' out loud Maybe we found love right where we are When my hair's all but gone and my memory fades","Bésame bajo la luz de mil estrellas y coloca tu cabeza en mi corazón Beatin ', estoy pensando en voz alta, tal vez encontramos el amor justo donde estamos cuando mi cabello se fue y mi memoria se desvanece",Thinking Out Loud,Ed Sheeran
"And the crowds don't remember my name When my hands don't play the strings the same way, mmm I know you will still love me the same 'Cause, honey, your soul could never grow old, it's evergreen And baby, your smile's forever in my mind and memory","Y las multitudes no recuerdan mi nombre cuando mis manos no tocan las cuerdas de la misma manera, mmm, sé que todavía me amarás lo mismo porque, cariño, tu alma nunca podría envejecer, es siempre hoja y bebé, tu sonrisa es para siempre en mi mente y memoria",Thinking Out Loud,Ed Sheeran
"Song #14 Lyrics Did we give up our dreams and trade them in for a 12 pack Did we give up our dreams and trade them in for a bag of speed Were our aspirations too high, was there something wrong with not wanting work and rent Were our aspirations too high, was there something wrong with not wanting a police state","Letra de la canción #14 Di nos renunciamos a nuestros sueños y los cambiamos por un paquete de 12. ¿Rengamos nuestros sueños y los intercambiamos por una bolsa de velocidad? ¿Nuestras aspiraciones demasiado altas, si hubiera algo malo en no querer trabajar y el alquiler fueron nuestras aspiraciones demasiado altas?",Song 1,Prince
"Did we give up our dreams and trade it in for a bag of weed Did we give up our dreams and trade them in for a million cigarettes Were our aspirations too high, was there something wrong With wanting an end to those who abuse their authority From mom and dad to the president and every cop in between Did we give up our dreams",¿Renunciamos a nuestros sueños y lo intercambiamos por una bolsa de marihuana? ¿Renunciamos a nuestros sueños y los cambiamos por un millón de cigarrillos? ¿Nuestras aspiraciones fueron demasiado altas? ¿Algo mal en querer fin a quienes abusan de su autoridad de mamá y papá al presidente y cada policía entre sí renunciamos a nuestros sueños?,Song 1,Prince
